S.No.,Description,Sub Class,Class,Group,Division,Section
355,"Other tanning, curing, finishing, embossing etc. leather related business activity",15119,1511,151,Manufacture of leather and related products,Manufacturing
355,"Services related to other tanning, curing, finishing, embossing etc. leather",15119,1511,151,Manufacture of leather and related products,Manufacturing
356,"Manufacture of travel goods like suitcase, bags, holdalls etc.",15121,1512,151,Manufacture of leather and related products,Manufacturing
356,"Travel goods like suitcase, bags, holdalls etc. related business activity",15121,1512,151,Manufacture of leather and related products,Manufacturing
356,"Services related to travel goods like suitcase, bags, holdalls etc.",15121,1512,151,Manufacture of leather and related products,Manufacturing
357,"Manufacture of purse, ladiesÃ¢â¬â¢ handbags, artistic leather presented articles and novelties",15122,1512,151,Manufacture of leather and related products,Manufacturing
357,"Purse, ladiesã¢â¬â¢ handbags, artistic leather presented articles and novelties related business activity",15122,1512,151,Manufacture of leather and related products,Manufacturing
357,"Services related to purse, ladiesã¢â¬â¢ handbags, artistic leather presented articles and novelties",15122,1512,151,Manufacture of leather and related products,Manufacturing
358,Manufacture of saddlery and harness,15123,1512,151,Manufacture of leather and related products,Manufacturing
358,Saddlery and harness related business activity,15123,1512,151,Manufacture of leather and related products,Manufacturing
358,Services related to saddlery and harness,15123,1512,151,Manufacture of leather and related products,Manufacturing
359,Manufacture of other consumer goods of leather and substitutes of leather n.e.c.,15129,1512,151,Manufacture of leather and related products,Manufacturing
359,Other consumer goods leather and substitutes leather n.e.c. related business activity,15129,1512,151,Manufacture of leather and related products,Manufacturing
359,Services related to other consumer goods leather and substitutes leather n.e.c.,15129,1512,151,Manufacture of leather and related products,Manufacturing
360,"Manufacture of leather footwear such as shoes, sandals, chappals, leather- cum-rubber/plastic cloth sandles and chappals",15201,1520,152,Manufacture of leather and related products,Manufacturing
360,"Leather footwear such as shoes, sandals, chappals, leather- cum-rubber/plastic cloth sandles and chappals related business activity",15201,1520,152,Manufacture of leather and related products,Manufacturing
360,"Services related to leather footwear such as shoes, sandals, chappals, leather- cum-rubber/plastic cloth sandles and chappals",15201,1520,152,Manufacture of leather and related products,Manufacturing
361,Manufacture of footwear made primarily of vulcalized or moulded rubber and plastic.,15202,1520,152,Manufacture of leather and related products,Manufacturing
361,Footwear made primarily vulcalized or moulded rubber and plastic. related business activity,15202,1520,152,Manufacture of leather and related products,Manufacturing
361,Services related to footwear made primarily vulcalized or moulded rubber and plastic.,15202,1520,152,Manufacture of leather and related products,Manufacturing
362,Manufacture of other footwear n.e.c.,15209,1520,152,Manufacture of leather and related products,Manufacturing
362,Other footwear n.e.c. related business activity,15209,1520,152,Manufacture of leather and related products,Manufacturing
362,Services related to other footwear n.e.c.,15209,1520,152,Manufacture of leather and related products,Manufacturing
363,Sawing and planing of wood,16101,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
363,Sawing and planing wood related business activity,16101,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
363,Services related to sawing and planing wood,16101,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
364,Manufacture of unassembled wooden flooring including parquet flooring,16102,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
364,Unassembled wooden flooring including parquet flooring related business activity,16102,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
364,Services related to unassembled wooden flooring including parquet flooring,16102,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
365,Manufacture of wooden railway sleepers,16103,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
365,Wooden railway sleepers related business activity,16103,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
365,Services related to wooden railway sleepers,16103,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
366,Activities related to saw milling and planing of wood n.e.c.,16109,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
366,Related to saw milling and planing wood n.e.c. related business activity,16109,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
366,Services related to related to saw milling and planing wood n.e.c.,16109,1610,161,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
367,Manufacture of ply wood and veneer sheets,16211,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
367,Ply wood and veneer sheets related business activity,16211,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
367,Services related to ply wood and veneer sheets,16211,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
368,Manufacture of particle board and fibreboard including densified wood,16212,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
368,Particle board and fibreboard including densified wood related business activity,16212,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
368,Services related to particle board and fibreboard including densified wood,16212,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
369,Manufacture of flush doors and other boards or panels,16213,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
369,Flush doors and other boards or panels related business activity,16213,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
369,Services related to flush doors and other boards or panels,16213,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
370,Manufacture of other plywood products n.e.c.,16219,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
370,Other plywood products n.e.c. related business activity,16219,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
370,Services related to other plywood products n.e.c.,16219,1621,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
371,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof trusses, doors, windows, shutters and their frames,",16221,1622,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
371,"Structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, rostruts, glue-laminated and metal connected, prefabricated wooden rotrusses, doors, windows, shutters and their frames, related business activity",16221,1622,162,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing
